  # energy grid [eV]   photospectra spin_up [ab.]   photospectra spin_dw [ab.] 
  11.8697829716   0.4361184672   0.1341023335
  11.9198664441   0.4495388047   0.1461119323
  11.9699499165   0.4583156622   0.1613033620
  12.0200333890   0.4564859221   0.1800821707
  12.0701168614   0.4413778201   0.2025600253
  12.1202003339   0.4153937194   0.2281326820
  12.1702838063   0.3843160219   0.2548765907
  12.2203672788   0.3540798329   0.2790642531
  12.2704507513   0.3287705434   0.2955514787
  12.3205342237   0.3103645596   0.2997168650
  12.3706176962   0.2992295546   0.2901282245
  12.4207011686   0.2945358337   0.2695101754
  12.4707846411   0.2943322754   0.2429541049
  12.5208681135   0.2955277667   0.2152654860
  12.5709515860   0.2943518397   0.1895509386
  12.6210350584   0.2876987934   0.1672221404
  12.6711185309   0.2747002879   0.1485812303
  12.7212020033   0.2570472523   0.1333777290
  12.7712854758   0.2377021345   0.1211608499
  12.8213689482   0.2193233906   0.1114582222
  12.8714524207   0.2035420953   0.1038504926
  12.9215358932   0.1910450573   0.0979936797
  12.9716193656   0.1819422451   0.0936188453
  13.0217028381   0.1760894337   0.0905237653
  13.0717863105   0.1732868860   0.0885631976
  13.1218697830   0.1733811456   0.0876404029
  13.1719532554   0.1763120415   0.0877008130
  13.2220367279   0.1821347939   0.0887280378
  13.2721202003   0.1910340002   0.0907421855
  13.3222036728   0.2033375664   0.0938004736
  13.3722871452   0.2195330735   0.0980002059
  13.4223706177   0.2402841073   0.1034843269
  13.4724540902   0.2664367578   0.1104499062
  13.5225375626   0.2989929452   0.1191600116
  13.5726210351   0.3390026562   0.1299594145
  13.6227045075   0.3872899424   0.1432942265
  13.6727879800   0.4438958332   0.1597344651
  13.7228714524   0.5071735544   0.1799957263
  13.7729549249   0.5727765077   0.2049497267
  13.8230383973   0.6334088024   0.2355999898
  13.8731218698   0.6804890529   0.2729731829
  13.9232053422   0.7074024262   0.3178347225
  13.9732888147   0.7116530518   0.3700918599
  14.0233722871   0.6942996841   0.4277700144
  14.0734557596   0.6588226728   0.4857277908
  14.1235392321   0.6110724529   0.5350211584
  14.1736227045   0.5586341205   0.5646124303
  14.2237061770   0.5087534505   0.5661649104
  14.2737896494   0.4665426362   0.5390508208
  14.3238731219   0.4346799926   0.4907780479
  14.3739565943   0.4141052810   0.4323642424
  14.4240400668   0.4048127639   0.3732230494
  14.4741235392   0.4062818125   0.3190059700
  14.5242070117   0.4174385014   0.2720317995
  14.5742904841   0.4361822081   0.2325661840
  14.6243739566   0.4586912310   0.1999045318
  14.6744574290   0.4791598094   0.1730224495
  14.7245409015   0.4910258241   0.1508929094
  14.7746243740   0.4899579482   0.1326114629
  14.8247078464   0.4765538021   0.1174276632
  14.8747913189   0.4559978437   0.1047368456
  14.9248747913   0.4350492683   0.0940585452
  14.9749582638   0.4192775009   0.0850130257
  15.0250417362   0.4121078757   0.0773002763
  15.0751252087   0.4150607011   0.0706826658
  15.1252086811   0.4280875773   0.0649711634
  15.1752921536   0.4494200665   0.0600146053
  15.2253756260   0.4749367975   0.0556914109
  15.2754590985   0.4977197085   0.0519032109
  15.3255425710   0.5091399464   0.0485699444
  15.3756260434   0.5023006199   0.0456260774
  15.4257095159   0.4759452276   0.0430176750
  15.4757929883   0.4350631306   0.0407001242
  15.5258764608   0.3875138127   0.0386363546
  15.5759599332   0.3401196550   0.0367954405
  15.6260434057   0.2969733230   0.0351514978
  15.6761268781   0.2597235629   0.0336828095
  15.7262103506   0.2285158957   0.0323711302
  15.7762938230   0.2027921134   0.0312011311
  15.8263772955   0.1817699088   0.0301599561
  15.8764607679   0.1646762662   0.0292368681
  15.9265442404   0.1508394748   0.0284229674
  15.9766277129   0.1397124271   0.0277109695
  16.0267111853   0.1308672363   0.0270950326
