  # energy grid [eV]   photospectra spin_up [ab.]   photospectra spin_dw [ab.] 
  16.7278797997   0.0282575349   0.0282575351
  16.7779632721   0.0292703987   0.0292703990
  16.8280467446   0.0304908344   0.0304908347
  16.8781302170   0.0319525341   0.0319525345
  16.9282136895   0.0336973601   0.0336973606
  16.9782971619   0.0357775255   0.0357775261
  17.0283806344   0.0382584340   0.0382584347
  17.0784641068   0.0412223725   0.0412223734
  17.1285475793   0.0447732866   0.0447732876
  17.1786310518   0.0490428755   0.0490428767
  17.2287145242   0.0541981718   0.0541981732
  17.2787979967   0.0604504935   0.0604504953
  17.3288814691   0.0680649000   0.0680649022
  17.3789649416   0.0773674995   0.0773675023
  17.4290484140   0.0887440544   0.0887440578
  17.4791318865   0.1026154873   0.1026154914
  17.5292153589   0.1193618632   0.1193618681
  17.5792988314   0.1391466810   0.1391466867
  17.6293823038   0.1615823625   0.1615823686
  17.6794657763   0.1852289671   0.1852289730
  17.7295492487   0.2071333318   0.2071333362
  17.7796327212   0.2230017477   0.2230017492
  17.8297161937   0.2286631230   0.2286631207
  17.8797996661   0.2223736381   0.2223736322
  17.9298831386   0.2059817221   0.2059817139
  17.9799666110   0.1836964509   0.1836964419
  18.0300500835   0.1597840094   0.1597840007
  18.0801335559   0.1371471861   0.1371471783
  18.1302170284   0.1171843855   0.1171843788
  18.1803005008   0.1002586526   0.1002586470
  18.2303839733   0.0861951943   0.0861951897
  18.2804674457   0.0746102467   0.0746102429
  18.3305509182   0.0650827556   0.0650827524
  18.3806343907   0.0572281631   0.0572281604
  18.4307178631   0.0507218387   0.0507218365
  18.4808013356   0.0453000367   0.0453000349
  18.5308848080   0.0407524484   0.0407524469
  18.5809682805   0.0369127324   0.0369127310
  18.6310517529   0.0336495961   0.0336495949
  18.6811352254   0.0308592607   0.0308592597
  18.7312186978   0.0284594078   0.0284594069
  18.7813021703   0.0263844395   0.0263844388
  18.8313856427   0.0245818132   0.0245818125
  18.8814691152   0.0230092222   0.0230092216
  18.9315525876   0.0216324316   0.0216324311
  18.9816360601   0.0204236131   0.0204236126
  19.0317195326   0.0193600626   0.0193600622
  19.0818030050   0.0184232095   0.0184232091
  19.1318864775   0.0175978487   0.0175978484
  19.1819699499   0.0168715473   0.0168715470
  19.2320534224   0.0162341835   0.0162341833
  19.2821368948   0.0156775944   0.0156775942
  19.3322203673   0.0151953075   0.0151953073
  19.3823038397   0.0147823435   0.0147823434
  19.4323873122   0.0144350796   0.0144350795
  19.4824707846   0.0141511652   0.0141511651
  19.5325542571   0.0139294888   0.0139294887
  19.5826377295   0.0137701941   0.0137701940
